Leeg;website;lng;Straat;huisnr;Postcode;busnr;Gemeente;Tekst;categorie;Wat;Id;Naam;Label;lat
;http://beta.lokeren.be;3.989.082;Groentemakrt;1;9160;;Lokeren;;Stadslocaties;;1;Stadhuis;;51.103.981
;http://beta.lokeren.be;3.991.668;Kerkplein;3;9160; ;Lokeren;;Stadslocaties;;2;Bibliotheek;;51.104.563
;http://beta.lokeren.be;3.996.806;Sportlaan;4;9160;;Lokeren;;Stadslocaties;;3;Buitenschoolse kinderopvang;;51.106.697
;http://beta.lokeren.be;3.992.322;Kerkplein;5;9160;;Lokeren;;Stadslocaties;;4;Cultureel Centrum;;51.104.528
;http://beta.lokeren.be;3.989.282;Markt;2;9160; ;Lokeren;;Stadslocaties;;5;Infopunt Toerisme;;51.104.040
;http://beta.lokeren.be;3.989.093;Markt;8;9160;;Lokeren;;Stadslocaties;;6;Oude Bank;;51.104.036
;http://beta.lokeren.be;3.993.503;Sportlaan;2;9160; ;Lokeren;;Stadslocaties;;7;Sporthal;;51.107.633
;http://beta.lokeren.be;3.983.702;Groendreef;8;9160; ;Lokeren;;Stadslocaties;;8;Kunstacademie Ter Beuken;;51.108.153
;http://beta.lokeren.be;3.986.853;Oude Vismijn;34;9160; ;Lokeren;;Stadslocaties;;9;Lokale Politie Lokeren;;51.104.186
;http://beta.lokeren.be;3.999.909;Lepelstraat;4;9160; ;Lokeren;;Stadslocaties;;10;OCMW - Sociaal Huis;;51.101.288
;http://beta.lokeren.be;4.015.066;Weverslaan;18;9160;;Lokeren;;Stadslocaties;;10;Stadsmagazijn;;51.109.279
;http://beta.lokeren.be;3.990.003;Markt;15A;9160;;Lokeren;;Stadslocaties;;12;Museum;;51.105.688
;http://beta.lokeren.be;3.993.636;Sportlaan;2;9160;;Lokeren;;Stadslocaties;;13;Zwembad;;51.108.001
;http://beta.lokeren.be;4.012.972;Bobijnerslaan;;9160; ;Lokeren;;Stadslocaties;;14;Recyclagepark;;51.108.963
;http://www.ontdekhetwaasland.be/HighlightDetail--Europees-Natuurreservaat-Molsbroek-5121.aspx;4.021.701;;;9160; ;Lokeren;;Nauur & Recreatie;;15;Molsbroek;;51.106.163
;http://www.ontdekhetwaasland.be/HighlightDetail--Bospark-8543.aspx;4.005.997;;;9160; ;Lokeren;;Nauur & Recreatie;;16;Bospark;;51.111.417
;http://www.ontdekhetwaasland.be/HighlightDetail--Verloren-Bos-8382.aspx;4.002.306;;;9160; ;Lokeren;;Nauur & Recreatie;;17;Kasteelpark Verloren Bos;;51.108.655
;http://www.ontdekhetwaasland.be/HighlightDetail--De-Meersen-van-de-Buylaers-8535.aspx;4.002.306;;;9160; ;Lokeren;;Nauur & Recreatie;;18;Meersen van de Buylaers;;51.108.655
;http://www.ontdekhetwaasland.be/HighlightDetail--Daknamse-Meersen-8520.aspx;3.984.175;;;9160; ;Lokeren;;Nauur & Recreatie;;19;Daknamse Meersen;;51.117.425
;http://www.ontdekhetwaasland.be/HighlightDetail--Heirbrugmolen-5012.aspx;3.979.300;;;9160; ;Lokeren;;Erfgoed & cultuur;;20;Heirbrugmolen;;51.103.414
;http://www.ontdekhetwaasland.be/HighlightDetail--Sint-Laurentiuskerk-5013.aspx;3.991.958;;;9160;;Lokeren;;Erfgoed & cultuur;;21;Sint-Laurentiuskerk;;51.104.179
;http://www.ontdekhetwaasland.be/HighlightDetail--Reynaertbanken-8584.aspx;3.980.205;;;9160;;Lokeren;;Erfgoed & cultuur;;22;Reynaertbanken;;51.125.398
;http://www.ontdekhetwaasland.be/HighlightDetail--Liniewegel-5045.aspx;3.961.730;;;9160;;Lokeren;;Erfgoed & cultuur;;23;Liniewegel;;51.151.773
;http://www.ontdekhetwaasland.be/HighlightDetail--Onze-Lieve-Vrouwekerk-Eksaarde-5684.aspx;3.966.107;;;9160;;Lokeren;;Erfgoed & cultuur;;24;Onze-Lieve-Vrouwekerk Eksaarde;;51.148.986
;http://www.ontdekhetwaasland.be/HighlightDetail--Kruiskapel-5073.aspx;3.984.193;;;9160;;Lokeren;;Erfgoed & cultuur;;25;Kruiskapel;;51.156.335
